speed,rpm
5.846154,801.2858
5.852533,801.6663
5.858893,802.0449
5.86523,801.4672
5.871518,800.9452
5.87774,800.6622
5.883895,800.5878
5.889988,800.6766
5.89603,800.8823
5.902035,802.1193
5.908035,803.3481
5.914055,804.3629
5.920102,805.1777
5.926171,805.8274
5.932257,806.3529
5.938346,805.8342
5.944405,805.3228
5.950377,805.1054
5.956234,805.2131
5.961983,805.5786
5.967646,806.1047
5.97326,807.6477
5.978899,809.0621
5.984607,810.112
5.990383,810.8549
5.996203,811.3945
6.002038,811.8313
6.007854,811.2922
6.013583,810.9078
6.019188,810.8915
6.024676,811.1716
6.030072,811.642
6.035405,812.2053
6.040705,813.7415
6.04604,815.1281
6.051447,816.1464
6.056922,816.8599
6.062443,817.3714
6.067981,817.7791
6.073511,818.1547
6.079018,818.5403
6.084495,818.9534
6.089939,819.3952
6.095351,819.8589
6.100734,820.3354
6.106082,819.8611
6.111349,819.5147
6.116507,819.4909
6.121564,819.7247
6.126541,820.1261
6.131461,820.6137
6.136344,821.1282
6.141203,821.634
6.146045,822.1152
6.150874,822.5688
6.155689,822.9989
6.160488,823.4121
6.16527,823.8149
6.170033,824.2121
6.174778,824.6069
6.179502,825.001
6.184206,825.3947
6.18889,825.7878
6.193553,826.1801
6.198198,826.571
6.202822,826.9601
6.207428,827.3472
6.212014,827.732
6.21658,828.1146
6.221129,828.4949
6.225658,828.8729
6.230168,829.2488
6.23466,829.6226
6.239132,829.9941
6.243587,830.3636
6.24803,831.6973
6.252503,832.919
6.257037,833.8276
6.261627,834.4746
6.266256,834.9393
6.270905,835.2984
6.275554,835.611
6.280191,835.9153
6.284808,836.2316
6.2894,836.5664
6.293968,836.9188
6.298513,837.2842
6.303035,837.6573
6.307536,838.0333
6.312018,838.4089
6.316481,838.7821
6.320925,839.1519
6.325352,839.5182
6.329754,838.908
6.334091,838.4001
6.338336,838.1923
6.342494,838.2341
6.346579,838.4517
6.350609,838.7744
6.354608,840.1215
6.358628,841.3832
6.362702,842.3381
6.366834,843.0228
6.371011,843.507
6.375215,843.864
6.379422,843.1776
6.383578,842.5683
6.38765,842.2583
6.391633,842.2103
6.395542,842.3558
6.399393,842.6246
6.40321,843.9367
6.407043,845.1796
6.410924,846.1285
6.414863,846.8142
6.418845,847.3011
6.422854,847.658
6.426868,846.9631
6.430836,846.3351
6.434723,845.997
6.438526,845.9148
6.442256,846.0242
6.445931,846.2583
6.449565,846.5614
6.453171,846.8933
6.456758,847.229
6.460331,847.5551
6.463893,847.8664
6.467444,848.163
6.470991,849.4299
6.474568,850.5992
6.478199,851.4749
6.481884,852.1003
6.485611,852.5416
6.489363,852.8648
6.493124,853.1236
6.496882,853.356
6.50063,853.585
6.504364,853.8224
6.50808,854.0723
6.511778,854.3338
6.515453,853.6177
6.51907,852.9954
6.522607,852.6605
6.526066,852.5677
6.529458,852.6523
6.532799,852.8515
6.536108,854.1015
6.539433,855.2971
6.542802,856.217
6.546222,856.8873
6.549685,857.3639
6.553177,857.7076
6.556684,857.9718
6.560193,858.1964
6.563697,858.4077
6.567189,858.6208
6.570667,858.8426
6.574129,859.0747
6.57757,858.3249
6.580957,857.6646
6.584268,857.2868
6.587503,857.149
6.590674,857.1892
6.593795,857.3471
6.596879,857.5732
6.59994,857.8318
6.602983,858.0997
6.606013,858.3637
6.609033,858.6181
6.612044,858.8612
6.615047,859.094
6.618042,859.3185
6.621027,859.5369
6.624003,859.7509
6.626969,859.9622
6.629924,860.1716
6.63287,860.3797
6.635805,860.5868
6.638729,860.793
6.641642,860.9983
6.644545,861.2026
6.647436,861.4059
6.650316,861.6082
6.653186,861.8095
6.656044,862.01
6.658891,862.2098
6.661726,862.4091
6.664552,862.6078
6.667368,862.8063
6.670172,863.0045
6.672967,863.2022
6.675751,863.3995
6.678527,863.5963
6.681294,863.7924
6.684052,863.9879
6.686801,864.1824
6.689542,864.3759
6.692275,864.5682
6.694998,864.7592
6.697712,864.949
6.700417,865.1376
6.703113,865.325
6.705798,865.5111
6.708475,865.6962
6.711142,865.8801
6.713799,866.0629
6.716791,926.1821
6.722722,983.0169
6.733359,1024.554
6.748533,1053.807
6.767533,1073.313
6.789467,1085.473
6.814234,1147.046
6.843962,1203.738
6.879475,1245.023
6.920344,1272.812
6.965555,1289.954
7.013912,1299.394
7.064859,1340.045
7.119654,1376.052
7.178554,1401.16
7.241007,1417.113
7.306087,1426.241
7.372804,1430.832
7.440477,1442.708
7.509128,1452.988
7.578601,1460.366
7.648603,1465.527
7.718827,1469.175
7.789003,1471.91
7.85895,1475.385
7.928617,1478.658
7.997962,1481.637
8.066952,1484.425
8.135562,1487.1
8.203779,1489.714
8.272146,1523.839
8.342819,1558.443
8.416819,1585.894
8.494197,1605.896
8.574427,1618.887
8.656688,1626.507
8.740192,1636.305
8.824619,1643.91
8.9096,1649.161
8.994756,1652.89
9.079766,1655.784
9.164395,1658.334
9.248498,1660.851
9.332007,1663.496
9.414865,1666.431
9.496988,1669.858
9.578372,1673.789
9.659047,1678.124
9.739063,1682.722
9.81849,1687.45
9.897383,1692.205
9.975776,1696.918
10.05369,1701.553
10.13114,1706.097
10.20813,1710.552
10.28466,1714.927
10.36072,1719.232
10.43633,1723.479
10.51147,1727.674
10.58616,1731.824
10.66039,1735.933
10.73418,1740.002
10.80751,1744.031
10.88041,1748.022
10.95287,1751.974
11.02489,1755.886
11.09649,1759.76
11.16767,1763.596
11.23843,1767.393
11.30877,1771.153
11.37871,1774.877
11.44823,1778.564
11.51743,1785.477
11.58651,1792.266
11.65556,1798.202
11.72455,1803.365
11.79341,1807.938
11.86207,1812.125
11.93073,1831.522
12.00047,1849.815
12.07169,1863.423
12.14425,1872.813
12.21771,1879.061
12.2916,1883.344
12.36559,1892.416
12.43985,1900.81
12.51437,1907.571
12.58899,1913.051
12.66357,1917.68
12.73794,1921.842
12.812,1926.901
12.88578,1931.873
12.95928,1936.585
13.03246,1941.092
13.10533,1945.453
13.17785,1949.718
13.25,1952.839
13.32171,1955.996
13.39293,1959.465
13.46358,1963.6
13.53352,1968.755
13.6028,1974.783
13.67161,1981.324
13.74012,1988.034
13.80843,1994.683
13.87658,2001.164
13.94459,2007.465
14.01246,2013.623
14.08016,2019.692
14.14768,2025.712
14.21501,2031.71
14.28215,2037.695
14.34909,2043.665
14.41585,2049.615
14.48242,2055.536
14.5488,2061.427
14.615,2067.283
14.68102,2073.104
14.74685,2078.893
14.81251,2084.649
14.87798,2090.373
14.94327,2096.067
15.00837,2101.731
15.0733,2107.364
15.13803,2110.64
15.20456,2103.578
15.27469,2084.624
15.34688,2059.08
15.41931,2031.713
15.49083,2005.57
15.56086,1982.176
15.62927,1961.952
15.69617,1944.649
15.76178,1929.732
15.82633,1916.782
15.88996,1905.433
15.95282,1895.313
16.015,1886.106
16.0766,1877.58
16.13768,1869.588
16.19827,1862.047
16.2584,1854.922
